station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOAK,2022-12-27 00:00:00,5,885.0,1174.0,13.2,-11.8,M,M,M,M
KOAK,2022-12-27 00:00:00,6,880.2,1219.0,M,M,210.0,28,39.0,0.0
KOAK,2022-12-27 00:00:00,5,856.0,1452.0,12.4,-9.6,M,M,M,M
KOAK,2022-12-27 00:00:00,4,850.0,1514.0,12.6,-20.4,210.0,26,36.0,1.0
KOAK,2022-12-27 00:00:00,5,843.0,1583.0,13.0,-26.0,M,M,M,M
KOAK,2022-12-27 00:00:00,5,828.0,1733.0,12.6,-25.4,M,M,M,M
KOAK,2022-12-27 00:00:00,6,818.6,1828.0,M,M,210.0,26,35.0,1.0
KOAK,2022-12-27 00:00:00,5,815.0,1865.0,12.2,-23.8,M,M,M,M
KOAK,2022-12-27 00:00:00,5,802.0,1999.0,11.2,-11.8,M,M,M,M
KOAK,2022-12-27 00:00:00,6,789.1,2133.0,M,M,210.0,24,34.0,2.0
KOAK,2022-12-27 00:00:00,6,760.4,2438.0,M,M,220.0,25,34.0,2.0
KOAK,2022-12-27 00:00:00,5,741.0,2651.0,6.6,-12.4,M,M,M,M
KOAK,2022-12-27 00:00:00,6,732.7,2743.0,M,M,230.0,29,35.0,3.0
KOAK,2022-12-27 00:00:00,5,729.0,2784.0,5.8,-22.2,M,M,M,M
KOAK,2022-12-27 00:00:00,5,726.0,2818.0,5.6,-16.4,M,M,M,M
KOAK,2022-12-27 00:00:00,5,708.0,3022.0,4.6,-22.4,M,M,M,M
KOAK,2022-12-27 00:00:00,5,704.0,3068.0,4.0,-21.0,M,M,M,M
KOAK,2022-12-27 00:00:00,5,702.0,3091.0,3.8,-11.2,M,M,M,M
KOAK,2022-12-27 00:00:00,4,700.0,3119.0,3.6,-14.4,235.0,35,38.0,3.0
KOAK,2022-12-27 00:00:00,5,697.0,3154.0,3.0,-7.0,M,M,M,M
KOAK,2022-12-27 00:00:00,5,693.0,3200.0,2.8,-12.2,M,M,M,M
KOAK,2022-12-27 00:00:00,5,690.0,3235.0,2.4,-8.6,M,M,M,M
KOAK,2022-12-27 00:00:00,5,689.0,3247.0,2.0,-5.0,M,M,M,M
KOAK,2022-12-27 00:00:00,6,680.0,3352.0,M,M,235.0,39,40.0,4.0
KOAK,2022-12-27 00:00:00,5,674.0,3423.0,0.2,-4.8,M,M,M,M
KOAK,2022-12-27 00:00:00,6,654.4,3657.0,M,M,230.0,35,41.0,4.0
KOAK,2022-12-27 00:00:00,5,650.0,3711.0,-1.7,-4.9,M,M,M,M
KOAK,2022-12-27 00:00:00,5,648.0,3735.0,-1.7,-1.7,M,M,M,M
KOAK,2022-12-27 00:00:00,5,644.0,3784.0,-0.9,-0.9,M,M,M,M
KOAK,2022-12-27 00:00:00,6,605.6,4267.0,M,M,240.0,39,44.0,6.0
KOAK,2022-12-27 00:00:00,6,560.4,4876.0,M,M,245.0,34,47.0,7.0
KOAK,2022-12-27 00:00:00,5,559.0,4896.0,-7.3,-7.3,M,M,M,M
KOAK,2022-12-27 00:00:00,5,554.0,4966.0,-7.9,-8.9,M,M,M,M
KOAK,2022-12-27 00:00:00,5,508.0,5632.0,-12.5,-12.5,M,M,M,M
KOAK,2022-12-27 00:00:00,4,500.0,5770.0,-13.1,-13.8,245.0,32,50.0,8.0
KOAK,2022-12-27 00:00:00,5,499.0,5785.0,-13.3,-14.0,M,M,M,M
KOAK,2022-12-27 00:00:00,5,498.0,5800.0,-12.9,-13.9,M,M,M,M
KOAK,2022-12-27 00:00:00,6,478.9,6096.0,M,M,255.0,32,51.0,9.0
KOAK,2022-12-27 00:00:00,5,474.0,6173.0,-15.7,-16.1,M,M,M,M
KOAK,2022-12-27 00:00:00,5,471.0,6221.0,-16.3,-17.4,M,M,M,M
KOAK,2022-12-27 00:00:00,5,466.0,6301.0,-17.5,-24.5,M,M,M,M
KOAK,2022-12-27 00:00:00,5,465.0,6317.0,-17.5,-24.5,M,M,M,M
KOAK,2022-12-27 00:00:00,5,463.0,6349.0,-17.3,-23.3,M,M,M,M
KOAK,2022-12-27 00:00:00,6,459.9,6400.0,M,M,240.0,30,52.0,9.0
